user_email,between_type,within_type,secondary_type,track_name,artist_name,artist_popularity,genres,track_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence,times
selenium_test0@gmail.com,1,1,0,vampire,Olivia Rodrigo,85,pop,97,0.169,0.511,0.532,0.0,5,0.311,-5.745,1,0.056,137.827,4,0.322,1
selenium_test0@gmail.com,1,1,0,Cruel Summer,Taylor Swift,100,pop,100,0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564,1
selenium_test0@gmail.com,1,1,0,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,88,"art pop,electropop,pop",98,0.959,0.444,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142,1
selenium_test0@gmail.com,1,1,0,Single Soon,Selena Gomez,82,"pop,post-teen pop",86,0.00863,0.61,0.571,0.0,2,0.131,-5.649,1,0.0782,105.01,4,0.747,1
selenium_test0@gmail.com,1,1,0,乘著無人光影的遠行,田馥甄,55,mandopop,58,0.103,0.277,0.692,0.000438,9,0.156,-5.797,1,0.0375,164.284,4,0.187,1
selenium_test0@gmail.com,1,1,0,Lonely Christmas,陳奕迅,63,"c-pop,cantopop,mandopop",26,0.787,0.495,0.401,0.0,0,0.106,-7.457,1,0.0371,116.984,3,0.255,1
selenium_test0@gmail.com,1,1,0,不來也不去,陳奕迅,63,"c-pop,cantopop,mandopop",39,0.7,0.481,0.447,0.0,8,0.143,-8.377,1,0.0309,148.104,4,0.232,1
selenium_test0@gmail.com,1,1,0,黑暗中漫舞,陳奕迅,63,"c-pop,cantopop,mandopop",38,0.895,0.467,0.203,0.00154,10,0.098,-15.189,1,0.0319,76.403,4,0.46,1
selenium_test0@gmail.com,1,1,0,落花流水,陳奕迅,63,"c-pop,cantopop,mandopop",46,0.424,0.582,0.548,0.0,1,0.129,-7.632,1,0.0401,148.001,4,0.274,1
selenium_test0@gmail.com,1,1,0,大開眼戒,陳奕迅,63,"c-pop,cantopop,mandopop",48,0.264,0.483,0.462,0.0,4,0.117,-7.247,1,0.0273,115.326,4,0.263,1
selenium_test0@gmail.com,1,1,0,夕陽無限好,陳奕迅,63,"c-pop,cantopop,mandopop",45,0.406,0.589,0.584,0.0,10,0.327,-6.224,1,0.0263,82.152,4,0.317,1
selenium_test0@gmail.com,1,1,0,人來人往,陳奕迅,63,"c-pop,cantopop,mandopop",49,0.759,0.542,0.26,3.98e-05,7,0.27,-12.104,1,0.0347,74.842,4,0.27,1
selenium_test0@gmail.com,1,1,0,防不勝防,陳奕迅,63,"c-pop,cantopop,mandopop",42,0.619,0.441,0.488,0.0,5,0.0947,-8.039,1,0.0277,145.808,4,0.253,1
